STT,Summary name,Description,Steps to reproduce,Data,Expected Result,Mô tả lỗi,Hình ảnh/Flow lỗi(nếu có),GG Drive ,Priority,MT,Status,ReOpen,Ngày tạo,Hoàn thành,Ghi chú,Người tạo,Người sửa,Reply
32,Không redirect hoặc hiển thị thông báo sau khi xác thực email - Màn hình đăng ký không thay đổi trạng thái,"Khi người dùng đăng ký tài khoản học sinh, hệ thống gửi một email xác thực. Sau khi người dùng click vào đường link kích hoạt trong email, màn hình đăng ký không có bất kỳ thay đổi nào:
- Không có thông báo xác thực thành công hoặc thất bại
- Không tự động chuyển hướng (redirect) về màn hình đăng nhập / đưa ra popup thông báo tương tự màn hình đăng ký tài khoản giáo viên 
- Giao diện giữ nguyên khiến người dùng không biết trạng thái tài khoản sau khi xác thực","1. Truy cập màn hình Đăng ký > Học sinh 
2. Nhập thông tin đầy đủ vào form đăng ký 
3. Nhấn button Đăng ký ngay → hiển thị thông báo yêu cầu Xác thực thông tin qua mail đồng thời gửi thư tới mail đăng ký
4. Mở mail và click vào đường link kích hoạt tài khoản 
5. Quan sát hành vi của trang sau khi click link kích hoạt ",,"Sau khi người dùng click vào link xác thực trong email:
- Hệ thống gọi API xác thực → nếu thành công:
    + Hiển thị thông báo “Tài khoản của bạn đã được xác thực thành công."" cho phép đăng nhập ngay hoặc
    + Tự động redirect sang màn hình đăng nhập, kèm message thông báo trạng thái thành công
- Nếu link hết hạn hoặc không hợp lệ → hiển thị thông báo lỗi rõ ràng
Giao diện cần thể hiện trạng thái xử lý (ví dụ loading ngắn), tránh cảm giác trang “đứng yên”",,,,M,"ĐN, ĐK",Pending,,17/10/2025,,Cần BE trả về thông tin để confirm cho FE sau khi người dùng truy cập vào mã xác thực bên gmail,Hoa,Trịnh Trần Phương Chiến,
33,Đăng ký thất bại không có phản hồi UI,"Khi người dùng nhập thông tin đăng ký không hợp lệ, hệ thống trả về lỗi 400 Bad Requesst ở backend nhưng giao diện không hiển thị bất kỳ thông báo lỗi hay phản hồi nào ","1. Mở màn hình đăng ký tài khoản
2. Nhập thông tin không hợp lệ:
- Số điện thoại không hợp lệ 
- Mật khẩu ngắn hơn 6 ký tự 
3. Nhấn nút Đăng ký
4. Quan sát giao diện sau khi nhấn ",,"Hệ thống phải hiển thị thông báo lỗi rõ ràng, không chuyển màn, cho phép sửa thông tin",,,,H,"ĐN, ĐK",Ðã hoàn thành,,17/10/2025,27/10/2025,,Hoa,Trịnh Trần Phương Chiến,
34,Phần thông tin của bài giảng liên quan bị tràn - Màn hình Chi tiết bài giảng  ,"Tại phần Nội dung liên quan trong màn hình Các thông tin của bài giảng bị tràn ra ngoài khung hiển thị, không được giới hạn số dòng hoặc ẩn bớt nội dung bằng ellipsis (...)
","1. Mở bài giảng bất kỳ 
2. Quan sát khu vực Nội dung liên quan ",,"- Tiêu đề và mô tả được giới hạn hiển thị 
- Tự động xuống dòng hoặc cắt gọn 
- Bố cục các thẻ bài giảng liên quan phải căn chỉnh đều, không vỡ layout",,,,H,Kênh của tôi,Ðã hoàn thành,,21/10/2025,27/10/2025,,Hoa,Trịnh Trần Phương Chiến,
35,Kết quả tìm kiếm hiển thị trùng lặp và lỗi url ảnh tương ứng ,"Khi tìm kiếm theo từ khóa “15mb”, hệ thống hiển thị nhiều kết quả trùng nhau (4 bài giống nhau), trong khi thực tế chỉ có 1 bài. Đồng thời, ảnh thumbnail không hiển thị (biểu tượng ảnh lỗi)","1. Nhập từ khóa ""15mb"" vào ô Tìm kiếm chung 
2. Quan sát Search Suggestion",,"- Hệ thống hiển thị bài giảng tương ứng với từ khóa, không có hiện tượng trùng lặp 
- Ảnh thumbnail hiển thị đúng hình ảnh bài giảng, không bị lỗi hiển thị ",,,,M,Chung,Chưa thực hiện,,21/10/2025,,Chờ phía BE,Hoa,Trịnh Trần Phương Chiến,
36,Loading state not cleared,Loading spinner vẫn quay dù danh sách kết quả đã hiển thị đầy đủ sau khi search,"1. Nhập từ khóa vào ô Tìm kiếm chung 
2. Nhấn Enter
3. Quan sát màn hình hiển thị danh sách kết quả ",,"Khi API trả về (success hoặc error), loading phải tắt ngay; chỉ hiện lại khi có request mới",,,,M,Cộng đồng,Ðã hoàn thành,,21/10/2025,27/10/2025,,Hoa,Trịnh Trần Phương Chiến,
37,"Mô tả của bài giảng bị nối chuỗi, không giữ xuống dòng sau khi tạo ","Khi người dùng tạo kênh mới và nhập nội dung mô tả có xuống dòng (Enter), hệ thống cho phép nhập và hiển thị đúng định dạng trong form tạo.
Tuy nhiên, sau khi lưu và truy cập màn hình Chi tiết bài giảng, phần mô tả lại bị nối chuỗi một dòng, bỏ qua các ký tự xuống dòng ban đầu ","1. Truy cập Kênh của tôi và Tạo bài giảng mới
2. Nhập mô tả gồm nhiều dòng (nhấn Enter để xuống dòng)
3. Nhập thông tin hợp lệ cho các trường bắt buộc 
4. Click Tạo bài giảng 
5. Mở màn hình Chi tiết bài giảng vừa tạo, xem mục Mô tả ",,Phần mô tả giữ nguyên định dạng xuống dòng như lúc nhập ban đầu để đảm bảo bố cục và khả năng đọc,,,,L,Chung,Ðã hoàn thành,,22/10/2025,27/10/2025,,Hoa,Trịnh Trần Phương Chiến,
38,"Kết quả hiển thị của data filter trang ""Cộng đồng nội dung"" không đầy đủ ","Khi người dùng chọn bộ lọc dữ liệu (Data filter) tại màn hình Cộng đồng nội dung, hệ thống chỉ hiển thị một phần danh sách bài giảng, không bao gồm đầy đủ các bài giảng thỏa mãn điều kiện lọc","1. Truy cập trang Cộng đồng nội dung 
2. Chọn một bộ lọc cụ thể (vd: Lớp 1, môn Toán)
3. So sánh danh sách hiển thị với danh sách thực tế ",,"- Tất cả bài giảng phù hợp với bộ lọc dữ liệu phải được hiển thị đầy đủ trong danh sách
- Không bị thiếu hoặc lọc sai dữ liệu",,,,M,Cộng đồng,Pending,,22/10/2025,,"sẽ quay lại khi cấu hình xong ""Thư viện của tôi v2""",Hoa,Trịnh Trần Phương Chiến,
39,Lọc nội dung liên quan không loại trừ bài giảng chưa xác minh,"Tại màn hình Chi tiết bài giảng, phần Danh sách nội dung liên quan đang hiển thị cả các bài giảng chưa được xác minh, thay vì chỉ hiển thị những bài giảng đã qua kiểm duyệt","1. Truy cập màn hình xem Chi tiết bài giảng 
2. Quan sát danh sách các bài giảng trong mục Nội dung liên quan 
3. Kiểm tra thông tin xác minh của các bài giảng liên quan ",,"- Chỉ hiển thị các bài giảng đã được xác minh (trạng thái Đã xác minh)
- Các bài giảng chưa xác minh không được hiển thị ",,,,M,Chung,Ðã hoàn thành,,22/10/2025,27/10/2025,,Hoa,Trịnh Trần Phương Chiến,
40,"Bộ lọc Hình thức, Môn học, Xếp hạng chưa hoạt động đúng ",Kết quả hiển thị không phản ánh đúng lựa chọn lọc ,"1. Truy cập màn hình Cộng đồng nội dung
2. Chọn lọc:
- Hình thức: Khóa học / Bài lẻ 
- Môn học
- Xếp hạng: 1-5 sao 
3. Quan sách bài giảng được hiển thị sau khi áp dụng bộ lọc ",,"- Danh sách bài giảng hiển thị phải được lọc theo chính xác tiêu chí đã chọn
- Có thể kết hợp nhiều bộ lọc (Hình thức + Môn học + Xếp hạng)",,,,M,Cộng đồng,Pending,,22/10/2025,,"sẽ quay lại khi cấu hình xong ""Thư viện của tôi v2""",Hoa,Trịnh Trần Phương Chiến,
41,Không thực hiện được luồng Tạo nội dung bằng AI ,"Lỗi modal Preview 
Nút Lưu không có phản hồi ","1. Đăng nhập tài khoản giáo viên vào hệ thống
2. Tại màn hình Thư viện của tôi, click button “+ Tạo mới”
3. Trong danh sách thả xuống, chọn mục “Tạo nội dung bằng AI”
4. Click chọn ""Tạo bài giảng bằng AI""
5. Thực hiện nhập thông tin tạo hợp lệ 
6. Click lần lượt Bắt đầu tạo kế hoạch bài giảng > Tạo kế hoạch thời gian > Tạo kế hoạch kịch bản > Tạo slide mẫu > Tạo hướng dẫn phụ huynh > Preview
7. Tại modal Preview, click button Xác nhận
8. Nhập tiêu đề cho content > Click button Lưu  
9. Quan sát phản hồi của hệ thống","Môn toán
Khối lớp 1
Kiến thức Cộng trong phạm vi 10
Giảng trực tiếp 45 phút 
45hs miền bắc 
Thiết bị: bảng thông minh, bàn ghế thông minh",Hệ thống mở modal Tạo nội dung bằng AI hiển thị nội dung được tạo tự động ,,,,M,Thư viện,Pending,,23/10/2025,,,Hoa,Trịnh Trần Phương Chiến,
42,Sidebar menu không có trạng thái active tại trang chính,Sidebar không hiển thị trạng thái Active cho menu khi người dùng truy cập trang chính: https://social-beta.edulive.net,"1. Đăng nhập vào hệ thống bằng tài khoản hợp lệ
2. Quan sát menu sidebar tại trang chính ",,"- Mặc định active trang Cộng đồng nội dung 
- Menu tương ứng với trang phải hiển thị trạng thái Active (Màu chữ đổi sang #2D8692, Font-weight: 700)",,,,M,Cộng đồng,Ðã hoàn thành,,24/10/2025,27/10/2025,,Hoa,Trịnh Trần Phương Chiến,
43,Lỗi master search Cộng đồng nội dung ,"Master Search vẫn trả về các kết quả cũ, không đồng bộ với trạng thái dữ liệu thực tế","1. Tại thanh header, nhập từ khóa muốn tìm kiếm 
2. Quan sát danh sách gợi ý và kết quả sau khi nhấn Enter
3. F5 Reload trang và quan sát kết quả hiển thị ",,"- Master search hoạt động bình thường, hiển thị đúng danh sách bài giảng hoặc nội dung liên quan đến từ khóa
- Không có kết quả trùng lặp, ảnh thumbnail hiển thị đầy đủ
- Thanh loading (spinner) hiển thị ở giữa, biến mất sau khi có kết quả
- Nếu không có kết quả phù hợp → hiển thị thông báo “Không tìm thấy kết quả”",,,,H,Cộng đồng,Đang thực hiện,,28/10/2025,,,Hoa,Trịnh Trần Phương Chiến,
44,"Lỗi hiển thị số lượng tài khoản có quyền truy cập 
","Trên màn hình Thư viện của tôi, số lượng tài khoản có quyền truy cập không khớp với danh sách thực tế hiển thị trong modal ""Chia sẻ"" → ""Những người có quyền truy cập"". Số trên màn hình chính có thể lớn hơn/nhỏ hơn số mục trong danh sách hoặc không cập nhật sau khi thay đổi quyền","1. Truy cập Thư viện của tôi 
2. Quan sát số tài khoản có quyền truy cập tại màn hình chính 
3. Mở modal Chia sẻ và quan sát mục ""Những người có quyền truy cập"" ",,Số được hiển thị trên màn hình chính phải tương ứng chính xác với số tài khoản hiện đang có quyền truy cập trong modal,,,,H,Thư viện,Ðã hoàn thành,,28/10/2025,28/10/2025,,Hoa,Trịnh Trần Phương Chiến,
45,Modal “Chia sẻ” bị tràn ra ngoài màn hình khi thêm nhiều tài khoản có quyền truy cập,"Khi thêm nhiều tài khoản vào danh sách “Những người có quyền truy cập” trong modal Chia sẻ, giao diện modal bị kéo dài vượt ra ngoài màn hình, không xuất hiện thanh cuộn","1. Truy cập Thư viện của tôi
2. Chọn một thư mục bất kỳ muốn chia sẻ
3. Mở modal “Chia sẻ”
4. Thực hiện thêm liên tục nhiều tài khoản (khoảng 10 người)
5. Click ""Gửi""
6. Mở lại modal ""Chia sẻ"" và quan sát hiển thị ",,"- Modal có giới hạn chiều cao hợp lý (ví dụ: tối đa 80–90% chiều cao màn hình)
- Khi danh sách vượt quá chiều cao này, tự động xuất hiện thanh cuộn (vertical scroll)
- Phần footer của modal (chứa các nút hành động) luôn cố định (sticky) và khả dụng
- UI không bị đè, tràn, hoặc cắt nội dung",,,,H,Thư viện,Ðã hoàn thành,,28/10/2025,28/10/2025,,Hoa,Trịnh Trần Phương Chiến,
46,"Khi tạo thư mục con, hệ thống sinh lặp thư mục cha bên trong thư mục mới tạo (thư mục mới này sinh file mới theo tên của thư mục con) ","Khi người dùng tạo một thư mục mới (thư mục 2) bên trong một thư mục hiện có (thư mục 1), sau khi tạo xong, trong cấu trúc thư mục lại xuất hiện thư mục cha (thư mục 1) được sinh thêm bên trong chính thư mục con (thư mục 2)
","1. Truy cập Thư viện của tôi
2. Tạo mới một thư mục có tên “Thư mục 1”
3. Mở Thư mục 1, sau đó chọn Tạo thư mục mới → đặt tên là “Thư mục 2”
4. Quan sát cấu trúc thư mục sau khi tạo thành công",,"Luồng tạo thư mục hoạt động đúng, không sinh bất thường thư mục mới ",,,,H,Thư viện,Ðã hoàn thành,,28/10/2025,29/10/2025,"Đã yêu cầu back-end kiểm tra lại


--- đã fix 29/10",Hoa,Trịnh Trần Phương Chiến,
47,"Khi thêm/sửa/xóa folder/file, hệ thống không xóa quyền truy cập (permission record) tương ứng với tên folder/file đó","Khi người dùng tạo mới một folder/file có cùng tên với folder/file cũ, quyền truy cập cũ bị gán sang đối tượng mới","1. Tạo folder/file A và chia sẻ quyền cho user B
2. Xóa folder/file A
3. Tạo 1folder/file mới A (trùng tên với folder/file đã xóa)
4. Mở mục “Chia sẻ” của folder/file A",,"- Khi xóa folder/file, mọi quyền truy cập liên quan phải được hủy hoàn toàn
- folder/file mới tạo, dù trùng tên, không được kế thừa bất kỳ quyền nào từ folder/file đã bị xóa",,,,H,Thư viện,Ðã hoàn thành,,28/10/2025,04/11/2025,"Đã yêu cầu back-end kiểm tra lại
3/11: FE nghiên cứu fix",Hoa,Trịnh Trần Phương Chiến,
48,Sai lệch số lượng quyền truy cập khi đổi tên folder/file trùng với folder/file đã xóa có lịch sử chia sẻ,"Khi người dùng đổi tên một folder/file mới trùng với tên của folder/file đã bị xóa trước đó và folder/file cũ từng có quyền chia sẻ cho nhiều tài khoản, hệ thống sẽ tự động thay đổi số lượng quyền truy cập theo tên mới vừa đổi","1. Tạo một folder/file mới trong Thư viện của tôi 
2. Thực hiện đổi tên folder/file này thành folder/file_test.docx (tên trùng với folder/file đã bị xóa trước đó)
3. Sau khi đổi tên thành công, quan sát thông tin tại cột ""Quyền truy cập"" và mục “Những người có quyền truy cập” trong modal ""Chia sẻ""
4. So sánh số lượng quyền truy cập hiển thị với folder/file thực tế vừa được tạo/đổi tên",,"- Hệ thống chỉ hiển thị quyền truy cập của folder/file hiện tại, không kế thừa quyền của folder/file cũ đã bị xóa
- Số lượng quyền truy cập hiển thị đúng với dữ liệu thực tế trong DB ",,,,H,Thư viện,Ðã hoàn thành,1 🤥,28/10/2025,04/11/2025,"bản mới sáng 29/10


-----> vấn đề sẽ được khắc phục ở phía BE",Hoa,Trịnh Trần Phương Chiến,
49,Không thực hiện được hành vi xóa file/thư mục từ thư mục cấp 2 trở đi,"Khi thực hiện thao tác xóa folder/file nằm trong thư mục cấp 2, hệ thống không xử lý được hành vi xóa","1. Mở Thư mục cấp 1
2. Chọn một folder/file bất kỳ bên trong thư mục cấp 2
3. Thực hiện thao tác Xóa (qua icon menu ba chấm)
4. Quan sát phản hồi của hệ thống và danh sách hiển thị",,"- Hệ thống xóa thành công folder/file trong thư mục cấp 2
- Giao diện được cập nhật ngay lập tức (mục đã xóa biến mất khỏi danh sách)
- Không xuất hiện lỗi hoặc thông báo bất thường",,,,H,Thư viện,Ðã hoàn thành,1 🤥,28/10/2025,29/10/2025,bản mới sáng 29/10,Hoa,Trịnh Trần Phương Chiến,
50,Không thực hiện được hành vi đổi tên file/thư mục từ thư mục cấp 2 trở đi,"Khi thực hiện thao tác đổi tên đối với folder/file nằm từ cấp 2 trở đi, hệ thống không xử lý được yêu cầu đổi tên
","1. Mở thư mục cấp 1, sau đó đi vào thư mục cấp 2 hoặc các cấp sâu hơn (cấp 3, cấp 4, ...)
2. Chọn một folder/file bất kỳ tại các cấp này
3. Thực hiện thao tác Đổi tên 
4. Nhập tên mới và Cập nhật
5. Quan sát phản hồi của hệ thống",,"- Hệ thống cho phép đổi tên folder/file ở mọi cấp thư mục
- Tên mới được lưu thành công và hiển thị ngay lập tức trên giao diện
- Không xuất hiện lỗi hoặc hành vi bất thường",,,,H,Thư viện,Ðã hoàn thành,,28/10/2025,29/10/2025,,Hoa,Trịnh Trần Phương Chiến,
51,"Sau khi tạo bài giảng/phiếu bài tập, màn hình “Thư viện của tôi” hiển thị thông báo thất bại dù bài giảng/phiếu bài tập được tạo thành công","Sau khi tạo mới bài giảng/phiếu bài tập, hệ thống điều hướng sang trang Tool (tạo nội dung chi tiết), tuy nhiên màn hình gốc “Thư viện của tôi” vẫn kích hoạt thông báo lỗi “Thất bại”","1. Tại trang “Thư viện của tôi”, thực hiện Tạo bài giảng/phiếu bài tập mới 
2. Hệ thống điều hướng đến tool cho phép người dùng tạo nội dung chi tiết bài giảng (ví dụ: https://tool-beta.edulive.net/slide...)
3. Quan sát thông báo hiển thị trên màn hình cũ (trang Thư viện của tôi)",,"Khi thao tác tạo bài giảng/phiếu bài tập được xử lý thành công:
- Hệ thống hiển thị thông báo Tạo thành công tại màn hình “Thư viện của tôi”
- Đồng thời, người dùng được chuyển hướng sang trang Tool để tiếp tục chỉnh sửa nội dung bài giảng/phiếu bài tập
Không hiển thị thông báo “thất bại” trong bất kỳ trường hợp thành công nào",,,,M,Thư viện,Ðã hoàn thành,,28/10/2025,29/10/2025,,Hoa,Trịnh Trần Phương Chiến,
52,Không hiển thị đầy đủ thư mục trong modal chuyển tệp,"Khi thực hiện hành động chuyển tệp tới một thư mục khác, modal hiển thị danh sách thư mục đích không liệt kê đầy đủ các folder hiện có trong hệ thống","1. Truy cập vào Thư viện của tôi 
2. Chọn một tệp bất kỳ muốn di chuyển
3. Click vào hành động “Chuyển tới” 
4. Quan sát danh sách các thư mục được hiển thị trong modal Chuyển tệp tới",,"Modal hiển thị đầy đủ toàn bộ các thư mục hiện có, bao gồm tất cả các cấp thư mục mà người dùng có quyền truy cập để lựa chọn làm nơi di chuyển tệp",,,,H,Thư viện,Ðã hoàn thành,,29/10/2025,29/10/2025,,Hoa,Trịnh Trần Phương Chiến,
53,"Ảnh hiển thị bị tràn màn hình theo chiều dọc, không được co giãn hoặc giới hạn trong khung hiển thị",,"1. Truy cập vào Thư viện 
2. Tải lên và mở ảnh có kích thước chiều cao lớn (~1300px)
3. Quan sát khu vực hiển thị ảnh trong giao diện",aed7de3822bcff07e9dbbc083367f119.jpg,"- Ảnh được scale hợp lý để phù hợp với khung hiển thị, không tràn khỏi màn hình
- Nếu ảnh vượt quá chiều cao viewport, cần có scroll hoặc fit-to-container",,,,M,Thư viện,Ðã hoàn thành,,29/10/2025,30/10/2025,,Hoa,Trịnh Trần Phương Chiến,
54,Thay đổi quyền truy cập chung hiển thị thành công nhưng thực tế không cập nhật trạng thái,"Khi thay đổi trạng thái Quyền truy cập chung từ “Hạn chế” → “Bất kỳ ai có đường liên kết” (hoặc ngược lại), hệ thống hiển thị thông báo thành công, tuy nhiên thực tế quyền truy cập không được cập nhật","1. Truy cập Thư viện của tôi → mở modal “Chia sẻ”.
2. Tại mục “Quyền truy cập chung”, chọn “Bất kỳ ai có đường liên kết” thay cho “Hạn chế”
3. Quan sát thông báo hiển thị: “Cập nhật thành công”.
4. Đóng modal, tải lại trang
5. Kiểm tra lại quyền truy cập 
6. Thực hiện tương tự thay đổi từ ""Bất kỳ ai có đường liên kết"" sang chế độ ""Hạn chế""",,"- Trạng thái quyền truy cập phải được cập nhật chính xác sau khi lưu
- Giao diện hiển thị đúng giá trị quyền hiện hành",,,,H,Thư viện,Ðã hoàn thành,,29/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
55,Không thay đổi được quyền truy cập cá nhân dù hiển thị thông báo thành công,"Dropdown phân quyền cá nhân (Người xem / Người nhận xét / Người chỉnh sửa) hiển thị thông báo cập nhật thành công nhưng thực tế quyền không thay đổi - sau khi tải lại hoặc mở lại modal, giá trị vẫn giữ nguyên như ban đầu","1. Mở modal Chia sẻ của một folder/file
2. Tại danh sách người dùng được chia sẻ, mở dropdown chọn quyền
3. Thay đổi quyền từ “Người xem” → “Người chỉnh sửa”/""Người nhận xét""
4. Quan sát thông báo hiển thị “Cập nhật thành công”
5. Nhấn Xong, sau đó mở lại modal và xem quyền vừa thay đổi ",,"- Quyền của người dùng được cập nhật đúng theo lựa chọn mới
- Đồng bộ hiển thị quyền mới",,,,M,Thư viện,Ðã hoàn thành,,29/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
56,Không thay đổi được quyền truy cập trong dropdown sau khi chọn tài khoản để chia sẻ,"Khi thực hiện chia sẻ một folder/file và thêm tài khoản cần chia sẻ thành công, dropdown quyền truy cập hiển thị nhưng không cho phép thay đổi giá trị
","1. Mở modal Chia sẻ của một folder/file
2. Thêm tài khoản mới có quyền truy cập 
3. Thay đổi quyền từ “Người xem” → “Người chỉnh sửa”/""Người nhận xét""
4. Quan sát dropdown hiển thị",,Dropdown quyền truy cập phải cho phép thay đổi sang giá trị khác ,,,,M,Thư viện,Ðã hoàn thành,,29/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
57,Không thực hiện được hành vi xóa tài khoản vừa thêm tại ô nhập trong modal Chia sẻ ,"Trong quá trình thêm tài khoản chia sẻ tại modal, người dùng có thể nhập và chọn tài khoản, hệ thống hiển thị các tài khoản vừa thêm trong ô nhập. Tuy nhiên, khi cố gắng xóa một tài khoản khỏi danh sách này, thao tác không có hiệu lực - icon xóa không hoạt động và thẻ tài khoản vẫn giữ nguyên
","1. Mở modal Chia sẻ của một folder/file
2. Tại ô nhập “Thêm người, nhóm, không gian và sự kiện trên lịch”, thực hiện thêm một hoặc nhiều tài khoản
3. Quan sát danh sách tài khoản được hiển thị ngay bên trong ô nhập 
4. Thử xóa một tài khoản khỏi danh sách bằng cách click vào icon “x” tag hiển thị",,Tài khoản được xóa phải biến mất khỏi danh sách tại ô nhập ngay lập tức,,,,H,Thư viện,Ðã hoàn thành,,30/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
58,"Tại màn hình “Được chia sẻ với tôi”, các file được chia sẻ chưa hiển thị kích thước file ","Tại màn hình “Được chia sẻ” (người nhận chia sẻ), danh sách các file được hiển thị nhưng không có thông tin kích thước tệp 
","1. Tài khoản A chia sẻ một hoặc nhiều file cho tài khoản B
2. Đăng nhập tài khoản B và truy cập Thư viện của tôi → Được chia sẻ 
3. Quan sát kích thước của file tại danh sách được chia sẻ",,"- Hệ thống hiển thị kích thước tệp (MB/KB) tương ứng cho từng file trong danh sách “Được chia sẻ”
- Thông tin kích thước đồng nhất với dữ liệu thực tế của file gốc",,,,L,Thư viện,Pending,,30/10/2025,,Chờ dữ liệu trả về từ phía BE,Hoa,Trịnh Trần Phương Chiến,
59,Chia sẻ nhiều tài khoản nhưng chỉ tài khoản đầu tiên nhận được file/folder chia sẻ,"Khi người dùng thực hiện chia sẻ folder/file cho nhiều tài khoản cùng lúc, hệ thống chỉ gửi chia sẻ thành công đến tài khoản đầu tiên trong danh sách.
Các tài khoản còn lại không hiển thị nội dung được chia sẻ trong mục “Được chia sẻ với tôi”, dù hệ thống vẫn báo chia sẻ thành công","1. Đăng nhập tài khoản A (người chia sẻ)
2. Tại Thư viện của tôi, chọn một folder/file bất kỳ
3. Nhấn Chia sẻ → Thêm nhiều tài khoản có quyền truy cập (ví dụ: tài khoản B, C, D)
4. Nhấn Gửi 
5. Lần lượt đăng nhập vào các tài khoản B, C, D
6. Truy cập Thư viện của tôi → Được chia sẻ 
7. Quan sát danh sách file được chia sẻ ",,"Tất cả các tài khoản được thêm vào danh sách có quyền truy cập (B, C, D) đều hiển thị fplder/file được chia sẻ trong mục “Được chia sẻ”",,,,H,Thư viện,Ðã hoàn thành,,30/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
60,Lỗi luồng chia sẻ - Thông báo thành công nhưng không lưu thông tin tạo tại modal chia sẻ,"Khi người dùng thực hiện chia sẻ folder/file cho một hoặc nhiều tài khoản tại modal Chia sẻ, hệ thống hiển thị thông báo “Chia sẻ thành công”.
Tuy nhiên, thao tác thêm tài khoản có quyền truy cập trong modal không được ghi nhận:
+ Số lượng quyền truy cập tại cột thông tin không thay đổi
+ Khi mở lại modal Chia sẻ, không hiển thị các tài khoản vừa được thêm","1. Truy cập Thư viện của tôi, tab Được tạo bởi tôi
2. Chọn một folder/file → mở modal Chia sẻ
3. Thêm một hoặc nhiều tài khoản người nhận → Nhấn Gửi
4. Quan sát thông báo “Chia sẻ thành công”
5. Kiểm tra cột Quyền truy cập trong danh sách folder/file
6. Mở lại modal Chia sẻ và kiểm tra danh sách tài khoản vừa thêm",,"- Hệ thống lưu và cập nhật đầy đủ thông tin chia sẻ (tài khoản, thông tin quyền truy cập)
- Số lượng quyền truy cập tại cột thông tin hiển thị đúng với dữ liệu mới
- Khi mở lại modal Chia sẻ, danh sách tài khoản được chia sẻ hiển thị đầy đủ và chính xác",,,,H,Thư viện,Ðã hoàn thành,1 🤥,30/10/2025,31/10/2025,,Hoa,Trịnh Trần Phương Chiến,
61,"Ảnh đại diện tại modal chia sẻ không hiển thị, thông tin ảnh danh sách người có quyền truy cập hiển thị là “undefined”","Tại modal Chia sẻ, phần hiển thị ảnh đại diện (avatar) của các tài khoản có quyền truy cập đang bị lỗi: ảnh không được hiển thị đúng, thay vào đó hiển thị giá trị “undefined”","1. Truy cập Thư viện của tôi, tab Được tạo bởi tôi
2. Chọn 1 folder/file đã thêm thành công tài khoản có quyền truy cập → mở modal Chia sẻ
3. Quan sát danh sách tài khoản có quyền truy cập trong modal",,Ảnh đại diện (avatar) của từng tài khoản hiển thị chính xác tương ứng với dữ liệu người dùng,,,,L,Thư viện,Pending,,30/10/2025,,"Do data ảnh chưa có :((, không phải là undefiend",Hoa,Trịnh Trần Phương Chiến,
62,Người nhận không xem được ảnh và file code tại màn hình “Được chia sẻ”,"Tại màn hình “Được chia sẻ”, người nhận chia sẻ không thể xem được nội dung của file ảnh hoặc file code do người khác chia sẻ. Khi click mở, hệ thống không hiển thị preview hoặc hiển thị màn hình trống/không phản hồi","1. Đăng nhập  tài khoản A, truy cập Thư viện của tôi tab Được tọa bởi tôi
2. Chọn ảnh hoặc file code (ví dụ: .py, .html,...) → Thực hiện Chia sẻ cho tài khoản B
3. Đăng nhập tài khoản B (người nhận), truy cập Thư viện của tôi → Được chia sẻ 
4. Click mở file ảnh hoặc file code được chia sẻ",,"- Người nhận (tài khoản B) xem được nội dung của file ảnh hoặc file code
- Hệ thống hiển thị preview tương ứng (ảnh hiển thị hình ảnh, file code hiển thị nội dung mã nguồn)",,,,H,Thư viện,Ðã hoàn thành,1 🤥,30/10/2025,,wav,Hoa,Trịnh Trần Phương Chiến,
63,Thư viện không được reset về thư mục gốc sau khi đăng nhập lại (vẫn giữ trạng thái tại thư mục con trước đó),"Sau khi người dùng đăng xuất và đăng nhập lại, hệ thống không thực hiện reset trạng thái điều hướng của Thư viện. Cụ thể, màn hình vẫn hiển thị tại thư mục con mà người dùng đã truy cập trước khi đăng xuất, thay vì tự động trở về thư mục gốc (root)","1. Truy cập Thư viện của tôi, tab Được tạo bởi tôi
2. Điều hướng vào một thư mục con (cấp 3 hoặc cấp 4) bất kỳ
3. Thực hiện đăng xuất khỏi hệ thống
4. Đăng nhập lại cùng tài khoản
5. Quan sát màn hình Thư viện của tôi sau khi đăng nhập",,"- Sau khi đăng nhập lại, hệ thống tự động reset trạng thái điều hướng, hiển thị mặc định tại thư mục gốc (root) 
- Không lưu lại vị trí hoặc trạng thái của thư mục con từ phiên làm việc trước",,,,L,Thư viện,Ðã hoàn thành,,31/10/2025,04/11/2025,,Hoa,Trịnh Trần Phương Chiến,
